user,date,rating,title,content
lutu-10364,4-Mar-19,10月10日,About a very very long escape from prison,"It's amazing how long I could not watch this movie. However, I became interested in them only after reading the book. And the book is very good. However, the same can be said about the film. Yes, there are some nuances ..."
ashi-lance,7-Feb-13,10月10日,"""I have to remind myself that some birds aren't meant to be caged""","""Every mind has billions of ideas and each one of us do things that no one expects us to do, some of those things are visible, some not but one of those things that make our life worth living is FREEDOM""Tim Robbins stars as Andy Dufresne, a young man who faces a long, long time in prison after he is wrongfully found guilty of murdering his wife and her lover. While inside he learns an awful lot about what a man can hold onto and let himself be put through if there is still an ounce of hope in his soul. Bottles of cool drink on a hot rooftop, a slowly building library collection, the moment of musical joy that sees Dufresne severely punished for his overstepping of the mark and many other scenes spring to mind as classic moments in a movie almost chock full of classic moments. Andy quickly gets befriended by ""Red"" (Morgan Freeman), actually the narrator of the story, both soon prove that even in the worst circumstances, within the ""hell on earth"" they can maintain human dignity and strive on their own way to freedom... Morgan Freeman is the film's secret strength, playing ""the guy who can get it for you"" with a note of welcome ambiguity. Watching him in an early scene, when a fat, new convict (fresh fish) is being beaten by cruel head guard Captain Hadley (Clancy Brown), you don't know whether Red looks so crestfallen for the victim or for the packs of cigarettes he just lost betting the guy wouldn't break before Dufresne James Whitmore was equally memorable as a prisoner who was unable to adjust to the outside after his parole following a 50 year stint. This shows that people who have been incarcerated for such a long period, need some sort of readjustment training before they rejoin society. For Whitmore, freedom meant ultimate doom, making the scene one of my all-time favorite displaying the ultimate dark side and a certain fear in freedom. Tim Robbins, Morgan Freeman along with James Whitmore etched unforgettable performances as prisoners charged with crime. The film shows what prison life is all about. Subjects dealing with prison survival, brutality, corruption and ultimate redemption are well shown. An outstanding film dealing with prisons as seen by several prisoners. Many social problems are discussed here. The picture earned a well-deserved best picture Oscar nomination. It certainly should have tied with the winner, the equally good ""Forrest Gump.""My Rating - 10/10"
email-142-427029,25-Apr-21,10月10日,Top Three Favorite Movies,"This film is easily in my top three favorite films. I return to it time and time again, still captivated! Bravo to everyone involved in this timeless production."
shiaunmiles,2-Mar-20,10月10日,nice,Nice title :) 10/10 best one i have seen my dude couldn't get any better
bob the moo,13-Apr-04,N/A,Simply a great story that is moving and uplifting,N/A
secondtake,25-Sep-09,7月10日,"Easy-breezy, obvious as a child's lie.",N/A
richard-mason,3-Sep-02,4月10日,"Overlong, Overblown and Over-rated","Come on guys! According to the IMDb Top 250 THIS is the second best film EVER!! Better than Citizen Kane? Better than Godfather Part II? Better than ALMOST EVERYTHING?!?!No, it's a very, very long, very, very predictable, very, very cliched, very. very old-fashioned and sentimental film, blessed by some good performers (especially James Whitmore, who, alas, does not figure prominently enough.)It worries me that many of the comments  here seem to think the film artistically transcends the usual Hollywood fare, when in actual fact, it wallows in all the conventions of its genre.I give it 6/10, mainly because I like Tim Robbins and Morgan Freeman.The only people who could mistake this for a Great Film, would be those who mistake the works of Stephen King for Great Literature."
DennisLittrell,20-May-04,8月10日,"Great story, wondrously told and acted",N/A
for_and,17-Feb-12,10月10日,I make the questions here!,"It has a formula that gives you this kick; Darn what a good movie! But I need to say this, sometimes it happens.. So WHY do people love this movie and rate it high, when, or WHY isn't the ""smart"" people declare it like a a peace of art? Or do they?! Still I think it's darn good...but I bet the producer(s) didn't expect that!Like when we vote, for anything, we need to follow our heart. This is a typical movie that is worth every penny, every letter... and it's a typical 90' movie! Oh.. there we have it! Between gone with the wind and now, we NEED this! Love me as I am.. says the storyline, in my head anyway. And I do, yes I do!"
laurin-02109,13-May-20,8月10日,The best film of all time ?,"I liked this film. That sums it up pretty well. This film is good, in some aspects very good, but the best film of all time? I usually don't say this, but I think The Shawshank Redemption is overrated. I don't want to take away from the performances, the story or the score, those were really good. I guess Opinions differ and that's fine. For me personally the fact that I knew that this film was ""the highest rated film of all time"" unfortunately hurt my experience. I was expecting a lot more, which in the end I didn't get.
But still a good watch nonetheless."
yaols-53324,7-Jun-20,9月10日,The Shawshank Redemption,"The classic can be recalled repeatedly. Andy is full of yearning for life and freedom. To get out of prison is a new life for him; and red, who has been used to prison life, has become numb. To get out of prison is death for him."
AlsExGal,23-Oct-20,10月10日,Why can't they make films like this anymore?,N/A
TxMike,12-Nov-01,N/A,Why it is ranked so highly.,"Over the years many IMDb users have wondered why ""The Shawshank Redemption"" was ranked so high, and many ""wished"" that in time it would sink to a lower, more appropriate slot. Many analyses missed the mark. Following is my take on the real reason it is ranked so high, and why it will never sink much, if any. And I hope it never does.This film deals with several ""hot"" buttons in us. A cheating spouse. A husband wrongly convicted and sent to prison. Corrupt law enforcement. A prison where inmates get maimed or killed. A smart inmate who plots a brilliant escape. The corrupt warden getting his just reward. Two friends being re-united with a good life ahead of them. Combined with a good script and good cinematography. What's not to like about this story?I have seen this movie a number of times. Each time I get something new out of it that I either didn't see before, or had not made a mental connection to. I recently (year 2014) upgraded my personal copy from DVD to Blu-Ray and both the picture and sound are better.This film continues to spark the occasional argument of whether it really should be rated on IMDb as the top film of all time. I don't know exactly where ""Shawshank Redemption"" should rank on the all-time list. That is akin to comparing home run hitters or golfers from different centuries. The games are quite different, as is true in cinema. I gave this film a ""10"", and on my list it is in one of the best movies of all time, along with a number of others. At the same time, I recognize that everyone else has their own opinion. I don't really see any value in trying to decide a rank order for all time. Each film should be appreciated for what it has to offer, no more, and no less.And this one offers a lot."
Wistfull,7-Apr-22,7月10日,A bit overhyped,"Decent entertainment, somewhat memorable. Why this is seen as such an incredible, sensational work of art is beyond me... I feel like this is one of the few crime-thriller-prison-action related films that met my expectations, as in, was A Good Film, but that alone doesn't make it a classic."
bigdupe,21-Sep-06,3月10日,Very unoriginal,N/A
curtisbates9,17-Apr-12,10月10日,the Shawshank redemption is a world class film,"the Shawshank redemption should be played throughout the world in all schools to teach people the hard life of prison but the bond between friends and the idea of hope. Morgan freeman is a second to none actor he lays the role perfectly and i could not think what the film would be like without him. all the other actors perform perfectly. this movie is a movie of inspiration and one of which will get people through harsh times. this film always restores my faith in mankind i simply love it. I first saw this film sitting on my brothers desk and i was intrigued by the idea of a film set in prison where hope and other morale values were the storyline instead of violence and havoc, this is a amazing film which brings pride to the actors and crew who produced it. the setting of the movie is one of perfection the Gothic grounds and the stunning facilities astound me i'am finding it hard to put in to words how much this film means to me i would say it is one of the greatest film's ever made in my time and i love it."
Greyrat2,13-Sep-21,9月10日,Near perfect,N/A
meetnavpk,13-Sep-13,10月10日,Brilliant & Excellent,"By far the best movie ever...No Doubt this is the best ever movie you will ever see, It is easily the best movie of my life-time so far.Morgan Free is a legend and Rest of the Crew did a marvellous job as well. Well written / narrated and directed movie of all times.10 out 10.It has been on number one ranking on IMDb and most of the other movie rating websites forever now.The best past of the movie is narrated voice by Morgan Freeman.The character Andy Dufrain is a very well composed and the Warden character has lot of punch into it.Escape from prison was the best it can ever get.Marvellous piece of Art."
jnelso19,23-Dec-12,10月10日,Better Late Then Never,"Along with Q and Pulp Fiction, Frank Darabont (The Walking Dead original writer) and his debut film got screwed by the Hollywood Powerhouse that is Tom Hanks with this now can be considered an American Classic. The fact that this film barely and I emphasize barely made it's money back in US theaters (which is usually a signal for a film to turn into a DOA when released at home) and it made such a splash, that the film is exceeding what anyone thought a simple 18 years ago. This includes some of Hollywood's best critics including EW's Owen Gleiberman who originally gave the film a B- back in late '94. Yet over time, this story of redemption, like the rise of hope this film gives from beginning to end, grows on you to the point where at the very end, you have no choice but to clap (I clapped in my basement in front of my parents and I haven't looked the same since). Darabont found a formula that worked and it shows in his future films. He made Robbins human, made Morgan Freeman's voice as American as a Big Mac and made the late great Rita Hayworth relevant again. The only regret that one should have is the fact that if it was released two years later it would've swept away the Oscars (Sorry Ralph Fiennes, The English Patient won on a weak year.)"
Fella_shibby,5-Mar-16,10月10日,This is one of the most inspiring n one of the greatest film.,"The Shawshank Redemption is undoubtedly deserves to be the highest rated movie. I watched this movie for the umpteenth time. A movie I would never ever get bored of. Written & directed by Frank Darabont, this prison drama is a simple but profoundly moving tale of hope, friendship & redemption. Cinematography exquisitely captures the monotonous daily life inside prison. The bond that grows between the two main characters is unforgettable and the score is the best I have heard. Morgan Freeman makes us feel the sadness and Tim Robbins, the faith. The more times you watch it, the more you love it, and the more you learn from it. Whatever you do, don't listen to the people who say this movie is overrated because this is one of the most inspiring and greatest film. It has everything you could possibly want in a movie. If you don't love Shawshank, chances are you are beyond redemption. It is hard to find a more proper word for the film than a masterpiece. It's in my top five movies of all time. I feel so bad about not writing a review of this masterpiece during the late nineties."
jcpixiemedia,5-Apr-21,10月10日,A movie to fuel one's life.,"""Hope is a good thing, maybe the best thing.""said Andy.I've been told a couple of times this movie is a must-watch before I die. A movie with almost all actors, and in a prison, is a bit masculine to me. Yet I occasionally read it on Wikipedia and also saw that in Netflix by chance, I gave it a go.On the ground of some personal experience I could feel how Andy feels. This movie is about persisting faith of oneself and of life, even for those serving lifetime sentence.""Get busy livin' or get busy dyin'"" is the best quote. If you are in search of a powerhouse movie, this would be the choice.I am from Hong Kong, I would also recommend ""The Greed of a Man"" (a Hong Kong drama) and ""Itaewon Class""( a South Korea drama). The male lead achieved their lifetime goal spending long enough time like Andy. We all know they are fictions, but so what? Just learn the message."
alexanderhuggard,15-Jul-21,10月10日,The 2nd Best Movie Ever Made,"This film is perfect in every sense of the word. The second the movie starts it grabs you and holds your attention for the rest of the film. It is never boring. All of the hints that lead to the finale is absolutely genius, and the attention to detail is perfect. The third act is the best of all time. Roger Deakins gives one of his more subtle works, and it plays out beautifully. The dialogue is perfect, and you deeply care about the characters."
sherryiq,29-May-21,6月10日,Overrated,"Absolutely the most movie overrated i have seen ..
There are movies that deserve this rated and have not been talked about.. As for this movie, it is worth watching, but it does not deserve this rating."
kevjfarrell,8-Aug-15,3月10日,Too flawed,This movie is a total piece of manipulation. It does have a few redeeming features though - Morgan Freeman's narration all through is pure art!!! This guy acts with his mouth!!! As a piece of fiction it has some merit and I can see why many people would enjoy it. But to be classed as one of the best movies of all time - really? C'mon!!! Certainly the portrayal of the brutality of the guards during those times I would say is fairly realistic.The one part of the story where an old timer gets released does ring true. There are many people like that who are totally institutionalized and do not have the skill to survive on the outside without a good support network in place.This is a movie for those people who like everything laid out perfectly for them and doesn't require any thinking. Personally I like a bit more depth and reality.I don't want to put people off seeing it - it should be watched once. But for me the flaws outweigh its redeeming features.
ms-42106,11-Oct-20,10月10日,"For hope, see it only.","My top film. Hope is good, and it never dies.
🌲🌲🌲"
darshansr-93257,12-Sep-22,10月10日,G.O.A.T,"I've watched great movies. The Godfather, The Lord of the Rings Trilogy, Citizen Kane, Casablanca, Lawrence of Arabia, The Mummy (1999), The Green Mile, Silence of the Lambs, E. T. the Extra-Terrestrial, 2001: A Space Odyssey, etc. Inasmuch as they are outrageously great, none of them come close to this absolute masterpiece.In a world where there's so much despair, so much crime, so much death and destruction, you would think there's no light at the end of the tunnel. But nope. This movie reminds us that, despite the trials and tribulations we face everyday, there's one thing that cannot be toppled....
HOPE.""To live without hope is to cease to live."" - Fyodor Dostoyevsky
""Get busy living.... or get busy dying!"" - Andy DufresneThis movie, in my own opinion, is the greatest movie of all time."
mtaimoor-96645,1-Nov-20,10月10日,The best movie i ever watched,Tye movie is just perfect. The acting the story the characters are just so good that they will even make you cry
UniqueParticle,23-Sep-19,10月10日,Truly the greatest prison movie ever!,"So worth seeing in the theater thanks to fathom events and 25th anniversary plus Stephen King turned 72 recently! I admit I've been on the fence about enjoying Shawshank Redemption for a while but seeing it in the theater and re watching after not seeing it for a long time, I cried, I laughed, felt sympathy, and was very immersed.Truly remarkable and well deserving of every good opinion even after I was on the fence about it, I love the movie a lot now; Tim Robbins embodied such a glorious character! Frank Darabont made such a crafty, dark and heart wrenching experience! Fathom events is excellent, I am glad I paid over $13 dollars to see such drama perfected film."
sivam-66902,13-Nov-20,10月10日,Greatness,This is the best movie I ever watched in my entire life.whenerver I feel sad or depressed I always watch this movie.it always gives me hope.Hope is a good thing.
packarduk,17-Apr-21,10月10日,what can i say,Best movie ive seen.This movie 20 years on is still first class.
aurora-41206,1-Oct-19,10月10日,So amazing,"The emotions, the plot, originality, everything tied together so well at the end - normally I criticise the way movies end, but this ending was phenomenal, not cliche at all. The brutality of the prison was well portrayed, and made me feel sorry for the characters.All the characters were believable and had depth, and none of the scenes were dramatic, but there was tension throughout the film. I'm going to stop fangirling now, but this movie is my favourite tied with the Godfather!!"
tedg,4-Nov-00,N/A,Relentless Storytelling,"I reviewed this film recently with a specific question in mind. At this writing, this film is ranked by IMDB viewers as the second best film ever made. The SECOND BEST EVER MADE!Why? This was my question.The acting is good. Robbins and Freeman are quality craftsmen in the Caine and Hackman tradition. But these are not truly great actors and in any case, they are only asked to play appealing persons, deliberately less-dimensional than real (as opposed to believably hyper-real which is much harder).The director is a first-timer, and it shows. There is simple framing and staging here. In fact, there seems to be a deliberate strategy to be as plain as possible. And that is the core of where I think people find the appeal of this film.The story is very tight in the sense of narrative flow. All the chunks are the same size, with no fancy rhythm. There is no distracting backstory. No element has irony, not writing, acting, shooting, even the score.Now for me, I expect and demand art in my films -- that's why I register this as plain. But I think it is well liked because it is totally without pretense. It is straight and honest; people seem hungry for honesty, and this has the appearance of what they need at just the right time.Is a film great because it merely fulfills? I hope many people think not, and dream that this film moves down the list to be replaced with more intelligent efforts."
Dar Star,23-Jun-20,6月10日,Good movie - Number 1 ??? No way,"I had been meaning to see this film since it is rated #1 on IMDb. It is a very good film and very well acted; however, no wayyyyyy is it the best film of all time. Morgan Freeman is particularly good as Red and the other actors perform very admirably, but I don't find the film overwhelmingly powerful. I've seen many many films that do more. I rate it a 7 out of 10."
lambiepie-2,25-Dec-03,3月10日,"Sometimes, we all just don't agree.","Last week, I had seen ""The Lord of the Rings: The Return of the King"" and I feel it is one of the best movies ever made, especially in these hard to entertain folks at the movies for $10 a seat times. I couldn't understand how some, as minority as their voices were, could not like that film.That was until I decided to sit down and write how I feel about this film.In the 9 years since it has come out, I have attempted to watch it 12 times. Three of those times, I slept through it. I finally took some extra caffine Coke and gave it a twirl -- twice. Sorry, I just didn't warm up to this film. Robbins and Freeman's acting was good, but I guess the story wasn't original -- or surprising to me. I just didn't care about these guys, nor anyone else. It's prison. The guilty as well as the innocent are there -- I get that concept. Sometimes you're released after serving time, sometimes you're not. You make friends...fine. I dunno, kinda reminds me of 4 years of High School or college I guess. I just don't care about those folks no matter what we all did together once I got out, which is why I just didn't care about these and wondered why they should. Move on. Thanks for sharing. Snooze.First I thought, I might not be a big ""prison"" entertainment fan, but then I remembered one of my favorite films is ""Birdman of Alcatraz"" (which I thought much from this film owes homage to), I really fell in love with ""The Green Mile"" (which was more on King's level than this) and I actually sat through a few seasons of HBO's ""Oz"" which was gritty and scary, to say the least. I give everything a chance, in fact -- several chances. But sometimes not all things appeal to all people. For me, this was one of them. (If you're wondering, ""Reservoir Dogs"" is another.)The point is...as I was going to write awful things to those few folks who didn't like ""The Lord of the Rings: The Return of the King"", I find myself here at ""The Shawshank Redemption"", and now I am able to stand where they were -- for a moment -- in the minority.All things are not wonderful to all people.And that's....a good thing."
FlashCallahan,2-Oct-14,10月10日,Salvation lies within....,N/A
sefa-kayabasi-739-747500,16-Jul-13,10月10日,prison escape,"This film manages to redeem Hollywood in the eyes of people who feared it long lost in a dark sea of clichés and predictability. Darabont shows us that artists still work in the Hollywood studios and production facilities. These artists show their capability to produce art; real art that inspires you to look at the deeper aspects of life and the world around you. The Shawshank Redemption delivers much-needed breath of fresh air for anyone who realizes the capability of film. It proves that masters of the craft still live on this earth, and still bless us with timeless masterpieces that we will never forget.These artists show their capability to produce art; real art that inspires you to look at the deeper aspects of life and the world around you..."
morrison-dylan-fan,9-Mar-06,10月10日,Hope Springs Eternal:Rita Hayworth And The Shawshank Redemption.,N/A
dickinsonjason-34081,30-Aug-20,10月10日,Classic,This Is Such A Classic And One Of My Favorite Movies Always Loved Watching This Movie
jaesboxer,11-Sep-03,10月10日,Number two?  Fine by me **** (out of ****),"I have long viewed the Shawshank Redemption as the most underrated film of all time.  That isn't to say that it wasn't universally acknowledged by the movie-going public as a great movie, but in terms of awards, critical acclaim, and best ever lists, this has somehow kept on losing out.  Now that I see it has the number two position, as voted by the movie-going public, on probably the most accurate best ever list in the world (AFI be damned), I am eminently pleased.  There is no way Forrest Gump should have won best picture over Shawshank.  Certainly, Forrest Gump is a charming, well-acted film, but it is nothing compared to this.  Morgan Freeman excels, and Tim Robbins turns in his best performance.  If you haven't seen this masterpiece, get up and rent it immediately."
sundaram-sunil,6-May-11,10月10日,Hope!!!,"I watched this movie for the umpteenth time probably last Sunday and how much I loved it yet again!!! A movie I would never ever get bored of and definitely, one of my all time favorites. A simple yet wonderful story about HOPE!!! HOPE – One word that drives all of us and gives us reason to live. We push ourselves through our mundane lives in the hope of achieving / finding something that we dream of. In the words of this movie's protagonist – ""hope is a good thing, maybe the best of things, and no good thing ever dies""!!! Superlative performances by Tim Robbins and Morgan Freeman.A must watch if you haven't!!!"
Bob Pr.,4-May-12,10月10日,"Richly human, uplifting","Deservedly ranked at the top of IMDb's all-time best 250 films ever.The casting is superb: Morgan Freeman is ""Red,"" a wise observer of people and an entrepreneur inmate who's made ""connections"" so he can get contraband to other inmates for a price; he's under a life sentence for murder. Tim Robbins is ""Andy,"" a smart banker and accounting whiz who was sentenced to 2 life terms for killing his wife and her lover (which he--like most other inmates, say they're not guilty of). And Bob Gunton is ""Warden Norton"" who, when we first meet him, is touting the virtues of Bible reading and strict discipline. While, fortunately, I've had no first hand experience, ""Shawshank"" certainly gives the feel of authenticity of prison life and its society.A long movie, most of it takes place inside a semi-corrupt state penitentiary in the late 1940s. ""Red,"" in talking his thoughts out loud to himself, becomes our narrator for many developments. As the story unfolds, increasingly we come to see Andy as a person with strong personal values which he upholds in the most difficult situations. And in Andy's work for Warden Norton, we also increasingly find the warden as morally his opposite: selfish and fundamentally lacking decent moral character--all show and appearance and with no integrity, substance.In Roger Ebert's first review (of his two) of this movie, he said: ""....the film is an allegory about holding onto a sense of personal worth, despite everything....the word redemption is in the title for a reason...."" Most viewers will agree."
Zaitzev,20-Dec-02,10月10日,"The shortest long movie I've ever seen. Kept me wanting more and more, minute by minute.","At first, before starting the movie, I thought ""Sounds like a typical prison riot and break-out kind of movie"". At the beginning of the movie, my thoughts was even more convincing. A large prison (Which immediately reminded me of the movie ""The Last Castle"" from 2001), housing people of all sorts, having it's guards, warden and of course, the inmates. The typical inmate; Roughneck, hard on the outside, broken on the inside. And they all claim their innocence, as an internal joke sort of speak.It gets to a point where I started comparing it with others. That proved wrong in quite a short while, from the point where a prisoner, framed for murder of his wife and her lover, is being convicted and sentenced to life in prison. His name was Andy Dufresne. In short terms, a straight-up bank employee, excellent with numbers and taxes, which he also uses to benefit within the walls of the prison. His reputation as a numerological genius spreads out, and soon all kinds of people, inmates and guards, are coming to him for financial advice. He builds up a library, he maintains a strict surface. He has his hobbies, to keep his mind busy (as said in the movie). He carves chess pieces out of stone, using an axe as the tool. Seemingly, this is a nice and lucrative hobby, but underneath it all, he has a secret...The movie keeps the viewer thrilled and excited, because in every minute, something could happen. The dialog is good, Tim Robbins and Morgan Freeman, both great actors, shows and outstanding play. The crew really did good work on the set, the right camera angles, the light, sounds and so on...it was almost like I could smell the prison!A brilliant movie. Not too short, not too long. It's worth every minute watching! My highest recommendation for those who like drama, action and humor."
Nuncio,6-Aug-98,N/A,Very Cool!!!,"Since I bought (a lot of years ago) a videotape with two Stephen King's short films, one of them ""The Woman In The Room"", directed by Frank Darabont, I had the strange sensation that this guy could very well become one of the good directors in the filming industry... and here we are, with another King's story he managed to do one of the best films in this decade (90's), of course, with the help of nonetheless but mr. Freeman and mr. Robbins, who could have spoiled it?"
Doylenf,17-Sep-06,7月10日,Stephen King's prison tale with a happy ending...,"THE SHAWSHANK REDEMPTION is a kind of morality tale that is definitely one of Stephen King's more restrained kind of stories, dealing mostly with a character study of two individuals sharing imprisonment and the consequences that await them when the tale ends.TIM ROBBINS is a man wrongly convicted of murder and serving a long prison term while MORGAN FREEMAN (who plays the narrator with great dignity) describes himself as ""the only guilty man in Shawshank."" The hardships of prison life are captured in brief scenes that make the viewer wish that Robbins will find a way of escape.Along the way, he is gang raped by prisoners and treated harshly by a brutal warden and some of his spirit seems to vanish. But Robbins is quietly effective as a prisoner who makes a good adjustment when he takes charge of the prison library and sees to it that there's a wider selection of books than the kind of potboilers that King is noted for writing. A touch of irony here, no? The closing scenes are a bit of a stretch and a reminder of just who wrote this prison tale--but still, they make an impact because of all that happens before.It's a bittersweet story, a sort of horrific fairy-tale of what might have happened, but the viewer will be caught up in the story because of the tremendously skillful story-telling magic of Stephen King and director Frank Darabont who also wrote the screenplay."
ilkka-laine,9-Aug-06,5月10日,Overrated,"I cannot possibly realize why this movie is rated in top movies. There is nothing new in this film and there isn't anything in it that makes it special. Wake up people! Quote Bill Hicks ""Piece of Sh*t"".OK I'll give it that there isn't anything to complain about the acting or directing, etc. But this entire movie seems to be a compromise. I also think that the success of this film is based on the ""least worst principle"" and that makes it bad.I'm also fed up with the narrator and all the dramatic film music. All this seems like fishing Oscar nominations. Am I really the only one who can see how transparent this is? I doubt it so please vote movies that really will make difference."
brentn,14-Feb-21,10月10日,Perfection!,"Andy Dufresne (Robbins), a well educated banker, is wrongfully convicted of killing his wife and her lover and sentenced to life in prison at Shawshank Penitentiary. This movie follows his life as it falls apart and he succumbs to living as an inmate surrounded by hardened criminals and a strict bible thumping warden with his henchmen prison guards.Saw this movie years ago and was absolutely stunned. This film is a genuine masterpiece and probably the greatest movie ever made. Tim Robbins and Morgan Freeman are amazing and just steal the show as convicts turned best friends. The movie is perfectly paced with very real characters and emotions that are all captivating. The prison itself is very authentic and the set pieces are very realistic which captured the prison environment better than any other prison set film except for maybe Escape From Alcatraz. Even as a hard drama this movie is never slow or boring or dry it is simply just that good."
ben2104,13-Oct-18,10月10日,A CLASSIC,"This film will stand the test of time 
And it will remain one of the best films ever madePlease do not remake this gem 
It must be left alone..Superb"
Xstal,4-Sep-22,8月10日,Compensatory Incarceration...,"What would you do, if the world came down on you, wrongly sentenced for a crime, that will take all your life's time; you're quite gentle and quite shy, don't feel the need to shout or cry, so you take it on the chin, accept the view, and settle in.Then distractions take their toll, incarceration's in control, prison guards dealing in pain, fellow cons who can't refrain; new friends help, you're not alone, surrounded by these walls of stone, movie pinups play their part, to lift spirits and keep good heart.Soon the governor fills his tills, make's the most of all your skills, he's an unforgiving kind, but there's money to be mined; you disperse what you collect, keeping covered all aspects, knowing channels have been primed, and overwhelmingly begrimed.Perpetually entertaining stuff."
Dessitta,23-Dec-06,10月10日,The greatest movie ever made and to be made,"The Shawshank Redemption is a story of life itself. It is not about a person in prison, it is about the soul and the battle it accepts and carries on to deserve the life it has been given by God. I watched the movie for the first time some months ago. That evening I was about to go out with some friends but out meeting was canceled and I had to stay home. Being unhappy about that, I started watching the movie on the TV just by chance, not knowing about its existence before that at all. At first I was skeptic, I admit that. But oh God, at the end of it I was screaming and jumping in my room at 1 AM! It gave me so much emotions and so much hope, I had never felt before that. I could hardly believe that a movie could make me feel that way - so excited, so happy about my life, leaving me believing so much in my own self. It is a great story of what the strength of your thoughts can make you do. In The Shawshank Redemption desire does not make you weak, just the opposite - gives you wings to fly away from fear, fly closer and closer to freedom. Morgan Freeman's voice is just another advantage that makes the movie even more impressive. Tim Robbins' act is just beyond perfection! I bought the DVD this summer and every time I feel weak or just bad about something, I watch the movie. It has become my personal shrink, making me feel strong enough anytime I watch it. Can never imagine a better movie made anywhere in the world even after 1000 years!"
aaronmaclellan,18-Jun-11,10月10日,Without a doubt one of the best movies of all time,"When I saw that the Shawshank Redemption was #1 on the top 250 movies of all time, I thought ""Yea, I could understand that"". I don't necessarily agree that it's absolutely the best, but it is so good that it makes sense that a forum of popular consensus for film rankings would rank it at the top.It is the story of Andy Dufresne, played by Tim Robbins and his time at Shawshank Prison. It is a perspective of what it is to be human and to have hope for the future even in the face of insurmountable adversity.It's funny, because I don't really think that any one particular thing stands out as spectacular. The performances are very good, but nothing really noteworthy. The characters all serve the story beautifully, but none of them really stand out from the others. Frank Darabont is great, the shots are exactly what they should be. Almost the entire film is shot at the prison, adding to the feeling of isolation and routine.And yet, we are captivated from the outset. Morgan Freeman could read a Sears catalogue and I'd pay to hear it, his narration breathes life into every scene that it's spoken over. The real beauty of this film is it's story, mostly about Andy and Red (Robbins and Freeman), but it's the way that each character contributes symbiotically to the development of the story that is the absolute mastery.Stephen King's novella ""Rita Hayworth and the Shawshank Redemption"" was the short story that was used as the basis for the film and it serves as evidence that King is not just a master of horror, but a true literary genius. Sure, he doesn't use as many fifty cent words as histories other great masters, but does anyone tell as good a story? King always gives his writing such distinct atmosphere and energy that you can't help but get swept away. The Shawshank Redemption is no different.If there is a film by which other films should be judged, this is as good as it can get. Powerful, engaging, visceral, despairing, a masterfully woven dialogue of what it means to be human. It's one of those journeys of the human spirit that just makes you feel happy to be alive.An amazing story translated beautifully to the screen. A masterpiece, 10/10."
AS-5,23-Apr-99,10月10日,One of the best movies I have ever seen,"This movie is one of the best I have ever seen. I first read the book, and I didn't liked it that much, but then I saw the movie. And that's a things that's never happened to me before, the movie was better than the book. It's the other way normally. But in this case, the movie is so much better, I like the end more than in the book. Watch the movie, it is great."
strikefirst-68052,5-Jun-20,9月10日,10 out of 10,Don't want to say any words about this film. Just a perfect 10.
mash34th,17-Jun-06,10月10日,For the first time the Movie defeats the Book!,"As an omnivorous reader movies are always second to books to me. I believe....movie can never defeat the book because while reading book we use our own imagination....and movie narrows down the imagination.....it only allows us to see how the director has imagined the book.But Believe me...this is not the case of The Shawshank Redemption...which I rate as the best movie I have ever seen.For the first time in history the book(the Stephen King Novella) has been defeated by its movie version.After watching the movie I was crazy about reading the book....I thought wow!the movie is so good...how will be the book!!To tell U frankly,the book is good, but the movie is best.There are some unforgettable scenes in the movie which were not in the book.Some examples are: The scene when Andy locks up the guard and play the opera on the microphone.The narration goes on like..""I didn't understand a single word that Italian lady was singing...but I tell U..for that single second every soul in the Shawshank prison felt free...""The scene just fill my heart with Andy's yearn for freedom...I was kinda shocked when I didn't find it in the original book version.I can remember another scene.While Andy creates the prison library and starts listing books sent to prison from charity organizations...a fellow inmate tries to read a name on the book...Alexandre Dumas as ""Dumb-Ass"". Andy says....""its not Dumb-ass...its Dumas..and U may like the book..The Count of Monty Cristo...its about a jailbreak.And the category it falls is Fiction"" Then Red says..""Why don't we put it on Educational category?""(Right before Andy listed an engineering handbook as ""Educational"" category).As Count of Monticristo is one of my favorite books, I was hysteric watching this sophisticated joke.This was also not in the book.This DVD is my favorite gift I give my friends. And after they watch it....they always thank me . Like many other IMDb friends commenting on this movie..I would also like to say..""Shawshank Redemption is the best movie I have ever seen in my life"".Thanx to all."
